idhh	idorighh	dwt	drgur	ils_origy	yem	yse	yiy	ypt	yprrt	poa	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	bot_s	bfa02_s	bdioa_s	bchmt_s	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_pen
404	0	1	0	4020	4020	0	0	0	0	0	0	79,73	398,98	0	0	804	3541,3	0	0	0	0	0	0	0	0	79,73	79,73	1202,98	0
405	0	1	0	4030	4030	0	0	0	0	0	0	80,76	400,38	0	0	806	3548,86	0	0	0	0	0	0	0	0	80,76	80,76	1206,38	0
406	0	1	0	4040	4040	0	0	0	0	0	0	81,79	401,78	0	0	808	3556,43	0	0	0	0	0	0	0	0	81,79	81,79	1209,78	0
407	0	1	0	4050	4050	0	0	0	0	0	0	82,82	403,18	0	0	810	3564	0	0	0	0	0	0	0	0	82,82	82,82	1213,18	0
408	0	1	0	4060	4060	0	0	0	0	0	0	83,85	404,58	0	0	812	3571,57	0	0	0	0	0	0	0	0	83,85	83,85	1216,58	0
409	0	1	0	4070	4070	0	0	0	0	0	0	84,89	405,98	0	0	814	3579,14	0	0	0	0	0	0	0	0	84,89	84,89	1219,98	0
410	0	1	0	4080	4080	0	0	0	0	0	0	85,92	407,38	0	0	816	3586,7	0	0	0	0	0	0	0	0	85,92	85,92	1223,38	0
411	0	1	0	4090	4090	0	0	0	0	0	0	86,95	408,78	0	0	818	3594,27	0	0	0	0	0	0	0	0	86,95	86,95	1226,78	0
412	0	1	0	4100	4100	0	0	0	0	0	0	87,98	410,18	0	0	820	3601,84	0	0	0	0	0	0	0	0	87,98	87,98	1230,18	0
413	0	1	0	4110	4110	0	0	0	0	0	0	89,01	411,58	0	0	822	3609,41	0	0	0	0	0	0	0	0	89,01	89,01	1233,58	0
414	0	1	0	4120	4120	0	0	0	0	0	0	90,05	412,98	0	0	824	3616,98	0	0	0	0	0	0	0	0	90,05	90,05	1236,98	0
415	0	1	0	4130	4130	0	0	0	0	0	0	91,08	414,38	0	0	826	3624,54	0	0	0	0	0	0	0	0	91,08	91,08	1240,38	0
416	0	1	0	4140	4140	0	0	0	0	0	0	92,11	415,78	0	0	828	3632,11	0	0	0	0	0	0	0	0	92,11	92,11	1243,78	0
417	0	1	0	4150	4150	0	0	0	0	0	0	93,14	417,18	0	0	830	3639,68	0	0	0	0	0	0	0	0	93,14	93,14	1247,18	0
418	0	1	0	4160	4160	0	0	0	0	0	0	94,17	418,58	0	0	832	3647,25	0	0	0	0	0	0	0	0	94,17	94,17	1250,58	0
419	0	1	0	4170	4170	0	0	0	0	0	0	95,21	419,98	0	0	834	3654,82	0	0	0	0	0	0	0	0	95,21	95,21	1253,98	0
420	0	1	0	4180	4180	0	0	0	0	0	0	96,24	421,38	0	0	836	3662,38	0	0	0	0	0	0	0	0	96,24	96,24	1257,38	0
421	0	1	0	4190	4190	0	0	0	0	0	0	97,27	422,78	0	0	838	3669,95	0	0	0	0	0	0	0	0	97,27	97,27	1260,78	0
422	0	1	0	4200	4200	0	0	0	0	0	0	98,3	424,18	0	0	840	3677,52	0	0	0	0	0	0	0	0	98,3	98,3	1264,18	0
423	0	1	0	4210	4210	0	0	0	0	0	0	99,33	425,58	0	0	842	3685,09	0	0	0	0	0	0	0	0	99,33	99,33	1267,58	0
424	0	1	0	4220	4220	0	0	0	0	0	0	100,37	426,98	0	0	844	3692,66	0	0	0	0	0	0	0	0	100,37	100,37	1270,98	0
425	0	1	0	4230	4230	0	0	0	0	0	0	101,4	428,38	0	0	846	3700,22	0	0	0	0	0	0	0	0	101,4	101,4	1274,38	0
426	0	1	0	4240	4240	0	0	0	0	0	0	102,43	429,78	0	0	848	3707,79	0	0	0	0	0	0	0	0	102,43	102,43	1277,78	0
427	0	1	0	4250	4250	0	0	0	0	0	0	103,46	431,18	0	0	850	3715,36	0	0	0	0	0	0	0	0	103,46	103,46	1281,18	0
428	0	1	0	4260	4260	0	0	0	0	0	0	104,49	432,58	0	0	852	3722,93	0	0	0	0	0	0	0	0	104,49	104,49	1284,58	0
429	0	1	0	4270	4270	0	0	0	0	0	0	105,53	433,98	0	0	854	3730,5	0	0	0	0	0	0	0	0	105,53	105,53	1287,98	0
430	0	1	0	4280	4280	0	0	0	0	0	0	106,56	435,38	0	0	856	3738,06	0	0	0	0	0	0	0	0	106,56	106,56	1291,38	0
431	0	1	0	4290	4290	0	0	0	0	0	0	107,59	436,78	0	0	858	3745,63	0	0	0	0	0	0	0	0	107,59	107,59	1294,78	0
432	0	1	0	4300	4300	0	0	0	0	0	0	108,62	438,18	0	0	860	3753,2	0	0	0	0	0	0	0	0	108,62	108,62	1298,18	0
433	0	1	0	4310	4310	0	0	0	0	0	0	109,65	439,58	0	0	862	3760,77	0	0	0	0	0	0	0	0	109,65	109,65	1301,58	0
434	0	1	0	4320	4320	0	0	0	0	0	0	110,69	440,98	0	0	864	3768,34	0	0	0	0	0	0	0	0	110,69	110,69	1304,98	0
435	0	1	0	4330	4330	0	0	0	0	0	0	111,72	442,38	0	0	866	3775,9	0	0	0	0	0	0	0	0	111,72	111,72	1308,38	0
436	0	1	0	4340	4340	0	0	0	0	0	0	112,75	443,78	0	0	868	3783,47	0	0	0	0	0	0	0	0	112,75	112,75	1311,78	0
437	0	1	0	4350	4350	0	0	0	0	0	0	113,78	445,18	0	0	870	3791,04	0	0	0	0	0	0	0	0	113,78	113,78	1315,18	0
438	0	1	0	4360	4360	0	0	0	0	0	0	114,81	446,58	0	0	872	3798,61	0	0	0	0	0	0	0	0	114,81	114,81	1318,58	0
439	0	1	0	4370	4370	0	0	0	0	0	0	115,85	447,98	0	0	874	3806,18	0	0	0	0	0	0	0	0	115,85	115,85	1321,98	0
