idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse	ils_bennt
8262	1082,11	2360,71	1702,01	744	1350	0	0	85,3	170,6	0	750
8263	1082,11	6239,8	1818,88	4512,56	4725	0	0	91,64	183,29	0	2625
8264	1082,11	2868,9	1583,84	1492	2700	0	0	0	0	206,94	1500
8265	1082,11	2547,37	1896,28	746	1350	0	0	94,91	189,83	0	750
8266	1082,11	2579,18	1929,77	746	1350	0	0	96,59	193,18	0	750
8267	1082,11	1309,51	593,33	746	1350	0	0	29,82	59,63	0	750
8268	597,99	1511,74	1309,2	373	675	0	0	0	0	170,46	375
8269	597,99	1599,97	905,6	740	1350	0	0	45,63	91,26	0	750
8270	597,99	749,73	7,48	744	1350	0	0	0	0	1,75	750
8271	597,99	2329,24	-6	2335,24	675	0	0	0	0	0	375
8272	597,99	1044,44	706,83	373	675	0	0	35,39	70,78	0	375
8273	597,99	2426,54	1773,52	742	1350	0	0	88,98	177,95	0	750
8274	597,99	665,34	236,61	460,28	766,28	0	0	0	0	31,54	466,28
8275	783,68	2011,3	1410,91	744	1350	0	0	25,28	50,57	118,33	750
8276	783,68	2081,33	2093,15	-8	0	0	0	3,82	7,64	0	0
8277	783,68	2219,81	1610,29	744	1350	0	0	47,19	94,38	87,3	750
8278	783,68	2833,41	-4	2837,41	8,04	0	0	0	0	0	8,04
8279	783,68	2783,3	600,34	2261,66	675	0	0	0	0	78,69	375
8280	783,68	5621,94	6123,94	-12	0	59,75	59,75	105,25	210,5	325	0
8281	895,85	2122	1590	740	1350	0	0	0	0	208	750
8282	895,85	2183,27	-7	2190,27	28,16	0	0	0	0	0	28,16
8283	895,85	4128,85	2454,75	1866	0	0	0	80	160	111,9	0
8284	895,85	4395,88	4628	-4	0	19,17	19,17	208,95	417,9	0	0
8285	895,85	-1,99	-1	-0,99	1,01	0	0	0	0	0	1,01
8286	598,53	1171,98	492,83	744	1350	0	0	0	0	64,85	750
8287	598,53	2310,32	1691,03	744	1350	0	0	59,86	119,72	64,85	750
8288	598,53	1885,45	593,6	1321,78	675	0	0	29,93	59,86	0	375
8289	598,53	1267,94	556,15	740	1350	0	0	28,21	56,42	0	750
8290	598,53	948,15	-2	950,15	2,01	0	0	0	0	0	2,01
8291	598,53	1112,07	202,93	936,3	1542,3	0	0	0	0	27,16	942,3
8292	598,53	872,66	530,43	369	675	0	0	26,77	53,54	0	375
8293	598,53	2121,85	1448,37	746	1350	0	0	72,52	145,04	0	750
8294	598,53	359	-8	367	675	0	0	0	0	0	375
8295	1291,7	946,49	-2	948,49	2,01	0	0	0	0	0	2,01
8296	1291,7	7549,63	7678,29	367	675	111,44	111,44	384,21	768,43	0	375
8297	1291,7	3878,26	2822,05	1204,31	0	6,55	6,55	141,55	283,11	0	0
8298	1291,7	713,63	358,61	373	675	0	0	17,98	35,96	0	375
8299	1291,7	2749,63	2900,87	-6	0	0	0	145,24	290,49	0	0
8300	806,46	9730,76	6835,27	3454,83	0	217,38	217,38	341,96	683,93	0	0
8301	806,46	6086,15	7016	-10	0	568,65	568,65	351,2	702,4	0	0
8302	806,46	3478,77	1693,42	1870,42	0	0	0	85,07	170,14	0	0
8303	806,46	2044	1495	744	1350	0	0	0	0	195	750
8304	806,46	762,5	448	373	675	0	0	0	0	58,5	375
8305	806,46	1133	1197	-4	0	0	0	60	120	0	0
8306	806,46	12621,15	12611,83	2535	0	1893,5	1893,5	630	1260	2,19	0
8307	1688,27	-0,96	-3	2,04	6,04	0	0	0	0	0	6,04
8308	1688,27	7229,45	7996	-4	0	112,55	112,55	0	0	650	0
8309	1688,27	4014,94	-1	4100,01	1,01	84,07	84,07	0	0	0	1,01
8310	772,07	1903,57	-2	1905,57	2,01	0	0	0	0	0	2,01
8311	772,07	1621,89	1007,37	746	1350	0	0	0	0	131,48	750
8312	772,07	410,65	46,17	371	675	0	0	0	0	6,52	375
8313	772,07	788,41	51,44	740	1350	0	0	3,02	6,04	0	750
8314	772,07	363	-6	369	675	0	0	0	0	0	375
8315	772,07	1274,31	951,31	371	675	0	0	47,46	94,91	0,54	375
8316	772,07	1568,71	291,46	1315,92	675	0	0	0	0	38,67	375
8317	570,12	4597,73	2856,31	1894,56	0	0	0	136,93	273,86	16,21	0
8318	570,12	1577,28	1732,94	-6	0	0	0	47,59	95,18	102,07	0
8319	570,12	950,79	-1	951,79	1,01	0	0	0	0	0	1,01
8320	570,12	2041,34	1489,35	746	1350	0	0	0	0	194,01	750
8321	570,12	2122,1	261,31	1895,28	0	0	0	0	0	34,49	0
8322	570,12	3300,03	2482,25	942,14	0	0	0	124,36	248,73	0	0
8323	570,12	2214,46	942,14	1319,78	675	0	0	47,46	94,91	0	375
8324	845,71	3186,98	3361,13	-6	0	0	0	168,16	336,31	0	0
8325	845,71	1675,54	1268,95	470,19	0	0	0	63,6	127,2	0	0
8326	845,71	3101,93	530,8	2640,78	1350	0	0	0	0	69,65	750
8327	845,71	4050,42	4339,48	-8	0	3,05	3,05	179,24	358,47	98,77	0
8328	845,71	2540,04	1890,78	744	1350	0	0	94,74	189,48	0	750
8329	845,71	5250,52	3729,44	1707,85	0	0	0	186,77	373,54	0	0
8330	1016,04	2030,03	973,42	1105,33	0	0	0	48,72	97,44	0	0
8331	1016,04	2066,48	427,81	1694,14	1350	0	0	0,5	1	54,97	750
8332	1016,04	4586,57	3000,43	1892,28	0	0	0	12,44	24,87	293,7	0
8333	1016,04	1262,53	-2	1264,53	2,01	0	0	0	0	0	2,01
8334	1016,04	2517,9	95,49	2435,34	840,06	0	0	0	0	12,93	540,06
8335	1016,04	2349,81	964,03	1490	2700	0	0	13,68	27,36	90,54	1500
8336	1016,04	1980,41	1424,66	742	1350	0	0	0	0	186,25	750
8337	1016,04	2980,76	2574,49	742	1350	0	0	0	0	335,72	750
8338	1006,04	1992,94	1153,77	933,21	0	0	0	35,46	70,91	58,59	0
8339	1006,04	1784,55	1490,26	369	675	0	0	74,71	149,43	0	375
8340	1006,04	2948,11	-3	2951,11	6,04	0	0	0	0	0	6,04
8341	1006,04	1762,09	1078,7	744	1350	0	0	50,17	100,34	10,44	750
8342	1006,04	1838,44	1591,45	367	675	0	0	54,79	109,57	65,22	375
8343	1006,04	4852	4968,79	148,08	0	16,18	16,18	248,69	497,38	0	0
8344	1006,04	2460	2596	-6	0	0	0	130	260	0	0
8345	1006,04	7074,01	124,07	6949,94	3809,94	0	0	0	0	0	3209,94
8346	912,65	2630,76	-5,92	2636,78	1350	0	0	0,1	0,21	0	750
8347	912,65	2489,35	117,4	2378,27	2988,27	0	0	6,32	12,64	0	2388,27
8348	912,65	1308,49	617,17	744	1350	0	0	17,63	35,25	35,06	750
8349	912,65	2055,89	384,82	1721,88	1350	0	0	0	0	50,81	750
8350	912,65	738	-6	744	1350	0	0	0	0	0	750
8351	912,65	1738,72	1442,07	369	675	0	0	72,35	144,71	0	375
8352	1133,85	999,12	266,6	746	1350	0	0	13,48	26,96	0	750
8353	1133,85	3157,02	3331,92	-8	0	0	0	166,9	333,79	0	0
8354	1133,85	2277,87	-6	2283,87	693,09	0	0	0	0	0	393,09
8355	1133,85	1556,18	249,41	1319,39	675	0	0	12,62	25,24	0	375
8356	1133,85	3402,01	593,78	2838,17	0	0	0	29,94	59,88	0	0
8357	1133,85	803,05	66,84	740	1350	0	0	3,79	7,58	0	750
8358	1133,85	3028,3	403,9	2645,19	3559,19	0	0	20,8	41,59	0	2659,19
8359	1133,85	619,61	259,64	373	675	0	0	13,03	26,06	0	375
8360	873,85	2160,91	2486,25	-2	0	0	0	0	0	323,34	0
8361	873,85	3367,72	2783,72	946,14	0	0	0	0	0	362,14	0
8362	873,85	2349,77	1788,82	746	1350	0	0	29,85	59,69	155,2	750
8363	873,85	1303,97	117,5	1192,59	1798,59	0	0	6,12	12,25	0	1198,59
8364	873,85	3076,83	498,08	2644,28	1350	0	0	0	0	65,53	750
8365	873,85	2879,12	1279,35	1688,14	1350	0	0	49,37	98,73	39	750
8366	873,85	3041,44	-8	3049,44	2057,16	0	0	0	0	0	1157,16
8367	873,85	948,15	-1	949,15	1,01	0	0	0	0	0	1,01
8368	934,43	2577,58	2717,56	-4	0	0	0	135,98	271,96	0	0
8369	934,43	2179,39	2300,57	-6	0	0	0	115,18	230,36	0	0
8370	934,43	1150,96	1213,64	-2	0	0	0	60,68	121,36	0	0
8371	934,43	1842,62	1154,44	746	1350	0	0	57,82	115,64	0	750
8372	934,43	3652,93	522,19	3197,88	2869,09	0	0	1,68	3,36	65,47	2269,09
8373	1639,19	1882,46	-4	1886,46	8,04	0	0	0	0	0	8,04
8374	1639,19	2215	-17	2232	4050	0	0	0	0	0	2250
8375	1639,19	436,83	76,27	371	675	0	0	0	0	10,44	375
8376	1639,19	931,21	-4	935,21	0	0	0	0	0	0	0
8377	1639,19	815,86	75,91	744	1350	0	0	4,05	8,09	0	750
8378	1639,19	1697,3	-6	1703,3	1368,09	0	0	0	0	0	768,09
8379	1639,19	1757,15	498,62	1324	675	0	0	0	0	65,47	375
8380	1639,19	1898	-6	1904	0	0	0	0	0	0	0
8381	1639,19	3603,87	430,07	3212,02	4726,02	0	0	12,03	24,06	26,19	3226,02
8382	1029,01	6236,78	6780,51	-4	0	200,65	200,65	339,08	678,15	0	0
8383	1029,01	1884,16	1200,44	744	1350	0	0	60,27	120,54	0	750
8384	1029,01	1222,92	-6	1228,92	675	0	0	0	0	0	375
8385	1029,01	1785,5	1947	-4	0	0	0	60	120	97,5	0
8386	1029,01	3339,28	1166,41	2234	0	0	0	56,89	113,78	4,24	0
8387	1021,7	3478,59	3838,5	-6	0	0	0	91,01	182,01	262,91	0
8388	1021,7	1516,75	1208,42	369	675	0	0	60,67	121,34	0	375
8389	1021,7	1569,75	952,63	742	1350	0	0	0	0	124,88	750
8390	1021,7	1606,63	316,7	1319,39	675	0	0	7,56	15,13	21,89	375
8391	1021,7	1268,02	944,39	371	675	0	0	47,37	94,74	0	375
8392	1021,7	997,85	49,65	948,2	0	0	0	0	0	0	0
8393	1021,7	1897,41	-2	1899,41	2,01	0	0	0	0	0	2,01
8394	626,81	5863,24	6268,34	-4	0	87,63	87,63	313,47	626,93	0	0
8395	626,81	1204,09	482,36	746	1350	0	0	24,27	48,54	0	750
8396	626,81	1822,19	1920,25	-2	0	0	0	96,06	192,13	0	0
8397	626,81	2662,94	-8	2670,94	1382,16	0	0	0	0	0	782,16
8398	626,81	3429,16	2140,56	1492	2700	0	0	47,37	94,74	156,02	1500
8399	626,81	2367,91	1711,85	742	1350	0	0	85,94	171,89	0	750
8400	626,81	5112,32	292,33	4835,16	4150,38	0	0	15,17	30,33	0	2950,38
8401	626,81	3065,6	2153,7	1117	2025	0	0	47,37	94,74	157,73	1125
8402	781,74	3216,77	3002,28	365	675	0	0	150,51	301,03	0	375
8403	781,74	13481,14	16651,92	-6	0	2203,5	2203,5	752,57	1505,14	208,71	0
8404	781,74	8149,92	1026,33	7993	0	817,75	817,75	51,67	103,33	0	0
8405	781,74	2737,78	2989	-6	0	0	0	90	180	155,22	0
8406	781,74	16304,53	19253	-8	0	2146,62	2146,62	793,85	1587,7	0	0
8407	781,74	-16	-8	-8	0	0	0	0	0	0	0
8408	781,74	4363,92	1936,93	2682,33	0	158,44	158,44	96,9	193,79	0	0
8409	781,74	17245,41	20626,33	-10	0	2208,59	2208,59	950	1900	212,33	0
8410	781,74	5896	1913	4096	0	16,75	16,75	96,25	192,5	0	0
8411	811,24	1639,11	942,48	744	1350	0	0	47,37	94,75	0	750
8412	811,24	1573,31	-8	1581,31	675	0	0	0	0	0	375
8413	811,24	590,94	250,8	373	675	0	0	0	0	32,86	375
8414	811,24	1896,82	-4	1900,82	8,04	0	0	0	0	0	8,04
8415	811,24	1195,51	517,28	746	1350	0	0	0	0	67,77	750
8416	811,24	674,67	322,02	369	675	0	0	16,35	32,7	0	375
8417	533,83	2272,34	-4	2276,34	683,04	0	0	0	0	0	383,04
8418	533,83	2197,71	302,41	1895,3	0	0	0	0	0	0	0
8419	533,83	5174,11	5521,14	-12	0	53,52	53,52	273,3	546,59	8,22	0
8420	533,83	2716,13	3112,6	-6	0	0	0	9,18	18,36	381,29	0
8421	533,83	1559,43	1713,01	-6	0	0	0	47,19	94,38	100,39	0
8422	533,83	1074,99	150,33	944,33	0	0	0	0	0	19,67	0
8423	533,83	5815,78	6647,82	-2	0	433,18	433,18	292,1	584,2	104,75	0
8424	2483,82	392,74	20,84	373	675	0	0	1,09	2,18	0	375
8425	2483,82	4289,14	4640,58	-10	0	0	0	164,3	328,6	177,14	0
8426	2483,82	4649,07	4889,18	-4	0	26,19	26,19	209,92	419,84	0	0
8427	2483,82	4377,02	4845,24	-8	0	135,22	135,22	0	0	325	0
8428	2483,82	3497,83	3937,81	-6	0	0	0	49,12	98,23	384,86	0
8429	950,09	2762,53	1405,76	1484	2700	0	0	35,84	71,67	91,39	1500
8430	950,09	1315,69	1435,92	-8	0	0	0	47,01	94,02	65,22	0
8431	950,09	2251,47	395	1876,42	0	0	0	19,95	39,9	0	0
8432	950,09	811,11	879,24	-4	0	0	0	31,52	63,04	32,61	0
8433	950,09	7156,23	7700,68	-8	0	110,72	110,72	360	720	65,74	0
8434	950,09	2180,58	1177,13	1142,5	1350	0	0	9,06	18,11	130	750
8435	950,09	2160	2493	-8	0	0	0	0	0	325	0
8436	950,09	2440,5	2265	369	675	0	0	63,5	127	130	375
8437	630,93	5867,64	6118,38	-4	0	39,38	39,38	207,36	414,72	0	0
8438	630,93	3632,48	3850,32	-6	0	19,13	19,13	192,72	385,43	0	0
8439	630,93	953,07	655,39	371	675	0	0	7,59	15,17	65,74	375
8440	630,93	706,91	351,54	373	675	0	0	17,63	35,25	0	375
8441	630,93	2090,33	137,07	1971,35	81,91	0	0	0	0	18,08	81,91
8442	630,93	1629,77	702,07	940,79	0	0	0	0	0	13,09	0
8443	630,93	977,33	604,33	373	675	0	0	0	0	0	375
8444	630,93	1838,94	-3	1841,94	681,04	0	0	0	0	0	381,04
8445	630,93	1940,44	2049,09	-6	0	0	0	102,65	205,31	0	0
8446	549,26	2424,41	1378,75	1115	2025	0	0	69,34	138,68	0	1125
8447	549,26	2900,84	-12	2912,84	72,36	0	0	0	0	0	72,36
8448	549,26	1050,54	118	948,14	0	0	0	0	0	15,6	0
8449	549,26	3211,23	598,06	2643,28	1350	0	0	30,1	60,21	0	750
8450	549,26	734	-8	742	1350	0	0	0	0	0	750
8451	549,26	1959,7	1284,37	740	1350	0	0	64,67	129,34	0	750
8452	549,26	388,31	17,9	373	675	0	0	0	0	2,59	375
8453	750,27	4493,45	4895	-6	0	150,55	150,55	245	490	0	0
8454	750,27	3527,73	3791,54	-8	0	65,99	65,99	189,83	379,65	0	0
8455	750,27	6579,61	2840,41	3889,05	0	7,48	7,48	142,37	284,74	0	0
8456	750,27	1309,14	-8	1317,14	675	0	0	0	0	0	375
8457	750,27	2343,89	2473,83	-6	0	0	0	123,94	247,88	0	0
8458	604,44	754,98	9,61	746	1350	0	0	0,63	1,26	0	750
8459	604,44	3347,73	3536,72	-6	0	30,89	30,89	152,09	304,19	0	0
8460	604,44	2700,6	2857,01	-8	0	0	0	139,78	279,57	8,62	0
8461	604,44	8456,04	5196,34	4699,89	0	1180,13	1180,13	260,07	520,13	0	0
8462	604,44	374,04	-3	377,04	681,04	0	0	0	0	0	381,04
8463	604,44	3228,57	2289,81	1117	2025	0	0	75,14	150,28	103,09	1125
8464	604,44	2623,05	2771,29	-6	0	3,43	3,43	138,81	277,63	0	0
8465	604,44	1455,23	389,96	1117	2025	0	0	0	0	51,73	1125
8466	1212,17	3434,68	588,06	2932,07	245,07	7,18	7,18	0	0	78,27	245,07
8467	1212,17	3653,71	2070,48	1855	3375	0	0	0	0	271,76	1875
8468	1212,17	2532,32	2310,59	367	675	0	0	97,43	194,87	47,83	375
8469	1212,17	4221,7	2001,55	2425,21	2700	0	0	35,52	71,04	169,53	1500
8470	1212,17	766,83	22,08	746	1350	0	0	1,25	2,51	0	750
8471	1212,17	952,03	-1	953,03	1,01	0	0	0	0	0	1,01
8472	1212,17	3017,67	26,33	2993	2025	0	0	1,67	3,33	0	1125
8473	755,29	3433,5	3048,43	556,92	0	19,23	19,23	152,62	305,24	0	0
8474	755,29	2470,51	691,4	1870,42	0	0	0	0	0	91,31	0
8475	755,29	1486,95	203,36	1310,01	2216,01	0	0	0,42	0,84	26	1316,01
8476	755,29	363	-6	369	675	0	0	0	0	0	375
8477	755,29	2840,95	30,93	2811,92	0	0	0	1,9	3,79	0	0
8478	755,29	5976,91	170,64	5815,56	7031,56	0	0	9,28	18,56	0	5831,56
8479	755,29	734	-8	742	1350	0	0	0	0	0	750
8480	755,29	897,16	293	619,16	927,16	0	0	15	30	0	627,16
8481	1015,46	1304,21	-6	1310,21	675	0	0	0	0	0	375
8482	1015,46	1882,46	-4	1886,46	8,04	0	0	0	0	0	8,04
8483	1015,46	1349,39	95,34	1259,07	1865,07	0	0	5,02	10,03	0	1265,07
8484	1015,46	2139,35	90,48	2053,5	175,08	0	0	4,62	9,25	0	175,08
8485	1015,46	1888,51	-6	1894,51	18,09	0	0	0	0	0	18,09
8486	1015,46	1708,86	1803,17	-4	0	0	0	90,31	180,62	0	0
8487	1015,46	900,3	952	-4	0	0	0	47,7	95,4	0	0
8488	1015,46	373,01	-2	375,01	677,01	0	0	0	0	0	377,01
8489	1695,1	3105,74	2122,11	1117	2025	0	0	89,55	179,11	43,82	1125
8490	1695,1	5037,36	2593,87	2573,28	0	0	0	129,79	259,59	0	0
8491	1695,1	2479,37	1515,64	1039,56	0	0	0	75,83	151,66	0	0
8492	1695,1	5754,29	6178,36	-6	0	108,95	108,95	309,12	618,24	0	0
8493	1695,1	2242,82	1974,86	367	675	0	0	99,04	198,09	0	375
8494	1695,1	4644,39	2202,62	2535,72	0	1,91	1,91	92,04	184,07	0	0
8495	1695,1	2726,35	2876,26	-6	0	0	0	143,91	287,83	0	0
8496	1695,1	3747,43	3975,09	-8	0	20,71	20,71	198,95	397,91	0	0
8497	852,49	808,4	65,85	746	1350	0	0	3,44	6,88	0	750
8498	852,49	1894,31	-2	1896,31	2,01	0	0	0	0	0	2,01
8499	852,49	375,97	9,81	367	675	0	0	0,84	1,68	0	375
8500	852,49	1319,83	-4	1323,83	683,04	0	0	0	0	0	383,04
8501	852,49	2336,65	1744,59	744	1350	0	0	47,19	94,38	104,75	750
8502	852,49	2758,49	3097,05	-2	0	11,56	11,56	0	0	325	0
8503	852,49	460,22	495,44	-10	0	0	0	25,22	50,44	0	0
8504	852,49	3036,63	-8	3044,63	2057,16	0	0	0	0	0	1157,16
8505	882,67	1392,45	1082	365	675	0	0	54,55	109,1	0	375
8506	882,67	2250,77	1645,15	744	1350	0	0	47,59	95,18	90,79	750
8507	882,67	2155,05	1487,73	742	1350	0	0	74,69	149,37	0	750
8508	882,67	2219,35	2412,79	-8	0	0	0	80,63	161,26	104,81	0
8509	882,67	1893,88	-4	1897,88	8,04	0	0	0	0	0	8,04
8510	891,31	1884,8	-6	1890,8	18,09	0	0	0	0	0	18,09
8511	891,31	1878,3	-9	1887,3	0	0	0	0	0	0	0
8512	891,31	1167,36	448,12	742	1350	0	0	22,76	45,51	0	750
8513	891,31	364	-5	369	675	0	0	0	0	0	375
8514	891,31	1305,13	595,35	740	1350	0	0	30,22	60,44	0	750
8515	891,31	3084,06	344,54	2757,16	1177,58	0	0	17,63	35,25	0	877,58
8516	891,31	722	-14	736	1350	0	0	0	0	0	750
8517	616,82	1894,31	-2	1896,31	2,01	0	0	0	0	0	2,01
8518	616,82	3158,63	3433,65	-6	0	0	0	111,25	222,5	157,77	0
8519	616,82	1421,63	659,19	823,97	1350	0	0	15,51	31,02	46,02	750
8520	616,82	2389,28	1130,15	1315,79	675	0	0	56,66	113,32	0	375
8521	616,82	1158,62	477,47	744	1350	0	0	0	0	62,85	750
8522	616,82	1690,63	107,36	1598,01	2504,01	0	0	0	0	14,74	1604,01
8523	616,82	1959,71	185,44	1799,42	2707,42	0	0	0	0	25,15	1807,42
8524	616,82	1906,6	21,22	1888,66	0	0	0	0	0	3,28	0
8525	1432,52	1895,31	-2	1897,31	2,01	0	0	0	0	0	2,01
8526	1432,52	2662,74	197,27	2475,58	884,28	0	0	10,11	20,23	0	584,28
8527	1432,52	1567,24	196,27	1381,08	1989,08	0	0	10,11	20,23	0	1389,08
8528	1432,52	750,04	-4	754,04	1358,04	0	0	0	0	0	758,04
8529	1432,52	1901,69	355,09	1564,8	2474,8	0	0	18,2	36,41	0	1574,8
8530	1432,52	1617,1	147,7	1476,98	2382,98	0	0	7,59	15,17	0	1482,98
8531	1432,52	734	-8	742	1350	0	0	0	0	0	750
8532	1432,52	738	-6	744	1350	0	0	0	0	0	750
8533	2070,55	939,22	-2	941,22	2,01	0	0	0	0	0	2,01
8534	2070,55	916,6	196,69	746	1350	0	0	0	0	26,09	750
8535	2070,55	1882,46	-4	1886,46	8,04	0	0	0	0	0	8,04
8536	2070,55	2886,63	2471,49	738	1350	0	0	0	0	322,85	750
8537	2070,55	2924,25	2384,18	740	1350	0	0	69,49	138,98	130,45	750
8538	2070,55	2678,16	-8	2686,16	1382,16	0	0	0	0	0	782,16
8539	2070,55	3197,7	3400	-8	0	0	0	155,3	310,6	39	0
8540	2070,55	1907,01	-2	1909,01	2,01	0	0	0	0	0	2,01
8541	1611,59	1134,28	414,19	746	1350	0	0	17,7	35,4	8,22	750
8542	1611,59	1463,6	755,53	746	1350	0	0	37,93	75,85	0	750
8543	1611,59	4207,23	4465,15	-6	0	28,46	28,46	223,46	446,92	0	0
8544	1611,59	722,1	401,56	373	675	0	0	0	0	52,46	375
8545	1114,32	2257,95	235,46	2034,52	1157,34	0	0	12,02	24,05	0	857,34
8546	1114,32	4126,83	1384,72	2811,65	3375	0	0	69,54	139,07	0	1875
8547	1114,32	2347,42	244,84	2135,45	1794,8	0	0	0	0	32,87	1194,8
8548	1114,32	777,81	42,36	742	1350	0	0	0	0	6,55	750
8549	1114,32	1319,7	204,84	1125,36	186,56	0	0	10,49	20,98	0	186,56
8550	1114,32	1940,63	935,1	1117	2025	0	0	6,72	13,43	104,75	1125
8551	1114,32	2084,31	1808,06	367	675	0	0	90,75	181,51	0	375
8552	1114,32	1174,26	342,54	877,55	1187,55	0	0	0	0	45,83	887,55
8553	892,32	2467,04	148,71	2325,92	733,62	0	0	7,59	15,17	0	433,62
8554	892,32	848,4	502,68	371	675	0	0	25,28	50,57	0	375
8555	892,32	2296,4	96,14	2205,32	1862,67	0	0	5,06	10,11	0	1262,67
8556	892,32	2752,89	1001,25	1882,58	0	0	0	0	0	130,94	0
8557	892,32	1766,34	1074,15	746	1350	0	0	53,81	107,62	0	750
8558	892,32	2667,45	2820,89	-6	0	6,2	6,2	141,24	282,49	0	0
8559	1166,29	2807,32	781,35	2065,39	2025	0	0	39,42	78,84	0	1125
8560	1166,29	1610,8	571,38	1115	2025	0	0	0	0	75,58	1125
8561	1166,29	1641,58	1339,82	369	675	0	0	67,24	134,48	0	375
8562	1166,29	2745,23	2994,95	-4	0	1,32	1,32	90,75	181,51	153,64	0
8563	1166,29	3445,14	-12	3457,14	2772,36	0	0	0	0	0	1572,36
8564	992,05	1328,85	11,17	1319,65	675	0	0	0	0	1,97	375
8565	992,05	2625,65	1774	940,65	0	0	0	89	178	0	0
8566	992,05	3052,55	-10	3062,55	2075,25	0	0	0	0	0	1175,25
8567	992,05	2842,74	3025,67	-2	0	29,6	29,6	151,33	302,67	0	0
8568	992,05	1319,12	4,42	1315,79	675	0	0	0	0	1,09	375
8569	992,05	2687,73	2844,14	-6	0	0	0	137,32	274,64	13,09	0
8570	1006,21	1817,12	1543,39	371	675	0	0	64,85	129,7	32,42	375
8571	1006,21	1328,47	1007,97	371	675	0	0	50,5	101	0	375
8572	1006,21	4388,69	1097,62	3427,41	0	33,46	33,46	25,28	50,57	77,6	0
8573	1006,21	3249,06	3424,33	-4	0	0	0	171,27	342,53	0	0
8574	1006,21	7048,41	7898,52	-4	0	451,13	451,13	394,98	789,95	0	0
8575	1006,21	4867,26	4169,95	944,14	0	38,23	38,23	208,6	417,2	0	0
8576	1006,21	1310,95	590,71	740	1350	0	0	0	0	19,76	750
8577	1006,21	2305,63	2433,51	-6	0	0	0	121,88	243,75	0	0
8578	1006,21	2238,19	401	1889,84	0	0	0	0	0	52,65	0
8579	755,07	3554,75	-6	3560,75	1368,09	0	0	0	0	0	768,09
8580	755,07	3236,37	2621,55	746	1350	0	0	131,18	262,36	0	750
8581	755,07	2878,36	1535,1	1492	2700	0	0	32,33	64,67	116,4	1500
8582	755,07	2591,75	1945,16	744	1350	0	0	97,41	194,82	0	750
8583	755,07	1683,22	1385,86	367	675	0	0	69,64	139,29	0	375
8584	755,07	2925,21	2379,72	744	1350	0	0	69,61	139,22	128,9	750
8585	2238	1963,73	1080,7	937,21	0	0	0	54,19	108,37	0	0
8586	2238	734	-8	742	1350	0	0	0	0	0	750
8587	2238	2257,09	-6	2263,09	693,09	0	0	0	0	0	393,09
8588	1880,59	1609,4	145,5	1483,59	2389,59	0	0	0	0	19,7	1489,59
8589	1880,59	6654,31	7398,8	-6	0	282,44	282,44	302,68	605,35	153,36	0
8590	1880,59	3964,28	3035,19	1206,31	0	0	0	73,92	147,84	203,3	0
8591	1880,59	2493,35	1207,02	1346,88	675	0	0	60,55	121,1	0	375
8592	1880,59	2242,45	1575,32	746	1350	0	0	78,87	157,73	0	750
8593	1601,19	1316,25	-4	1320,25	683,04	0	0	0	0	0	383,04
8594	1601,19	2163,08	1101,45	1117	2025	0	0	55,37	110,74	0	1125
8595	1601,19	1755,16	1471,49	371	675	0	0	65,22	130,45	22,1	375
8596	1601,19	1827,3	596,34	1309	675	0	0	0	0	78,04	375
8597	1601,19	1874,01	-1	1875,01	1,01	0	0	0	0	0	1,01
8598	1601,19	1434	794	744	1350	0	0	0	0	104	750
8599	1601,19	2382,8	2120	369	675	0	0	106,2	212,4	0	375
8600	1601,19	4008,61	3248	963,31	0	0	0	137,7	275,4	65	0
8601	1009,38	2526,51	275,12	2265,3	675	0	0	13,91	27,81	0	375
8602	1009,38	4403,27	4657,37	-6	0	15,13	15,13	232,97	465,94	0	0
8603	1009,38	1238,04	1309,78	-6	0	0	0	65,74	131,48	0	0
8604	1009,38	2481,75	2222	371	675	0	0	111,25	222,5	0	375
8605	1009,38	2860,62	-9	2869,62	45,25	0	0	0	0	0	45,25
8606	1009,38	1443,99	342,2	1119	2025	0	0	17,21	34,42	0	1125
8607	1009,38	2874,1	1043,81	1882,58	0	0	0	52,29	104,58	0	0
8608	1009,38	1886,59	-1	1887,59	1,01	0	0	0	0	0	1,01
8609	385,59	2614,96	399,45	2267,96	675	0	0	0	0	52,45	375
8610	385,59	2271	-4	2275	683,04	0	0	0	0	0	383,04
8611	385,59	946,4	-2	948,4	2,01	0	0	0	0	0	2,01
8612	385,59	1896,82	-4	1900,82	8,04	0	0	0	0	0	8,04
8613	385,59	1262	296,33	980,84	1588,84	0	0	15,17	30,33	0	988,84
8614	385,59	2615,43	971,88	1692,39	1350	0	0	48,84	97,69	0	750
8615	385,59	2105,45	-10	2115,45	2075,25	0	0	0	0	0	1175,25
8616	385,59	734	-8	742	1350	0	0	0	0	0	750
8617	385,59	2849,53	2218,77	742	1350	0	0	111,24	222,48	0	750
8618	799,76	730	-10	740	1350	0	0	0	0	0	750
8619	799,76	1244,19	146,66	1105,11	1711,11	0	0	7,58	15,17	0	1111,11
8620	799,76	816,85	76,9	744	1350	0	0	4,04	8,09	0	750
8621	799,76	2135,9	357,61	1796,73	2408,73	0	0	18,43	36,86	0	1808,73
