idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse	ils_bennt
75	253,68	948	-3	951	0	0	0	0	0	0	0
76	764,56	1565,72	948	742	1350	0	0	0	0	124,28	750
77	764,56	2573,79	2713,57	-4	0	0	0	135,78	271,56	0	0
78	764,56	2003,97	1756,09	363	675	0	0	71,62	143,25	43,5	375
79	764,56	21315,68	13458,31	11262,56	0	2732,07	2732,07	673,12	1346,23	0	0
80	764,56	871,78	293,4	617,56	925,56	0	0	0	0	39,18	625,56
81	764,56	1295,5	580,79	744	1350	0	0	29,29	58,58	0	750
82	764,56	940,37	-1	941,37	1,01	0	0	0	0	0	1,01
83	764,56	3218,75	1062,88	2209,66	675	0	0	53,79	107,59	0	375
84	400,37	-15	-7	-8	0	0	0	0	0	0	0
85	400,37	2475,15	1837,1	746	1350	0	0	81,88	163,76	26,07	750
86	400,37	1872,15	-2	1874,15	2,01	0	0	0	0	0	2,01
87	400,37	4364,29	3725,28	929,57	0	6,69	6,69	88,96	177,92	194,91	0
88	400,37	2811,75	-4	2815,75	8,04	0	0	0	0	0	8,04
89	400,37	1853,24	844,85	1119	2025	0	0	0	0	110,61	1125
90	400,37	2690,16	2048,81	744	1350	0	0	102,64	205,28	0	750
91	525,1	2653,7	2802,11	-8	0	0	0	140,41	280,81	0	0
92	525,1	3295,32	3479,65	-10	0	0	0	174,33	348,67	0	0
93	525,1	1892,93	1324,1	742	1350	0	0	0	0	173,17	750
94	525,1	2810,27	1183,67	1686,03	1350	0	0	59,43	118,87	0	750
95	525,1	991,36	105,31	891,42	1495,42	0	0	5,37	10,73	0	895,42
96	525,1	944	-2	946	2,01	0	0	0	0	0	2,01
97	525,1	1999,98	932,03	1115	2025	0	0	47,05	94,1	0	1125
98	651,06	4028,23	2496,08	1871,56	0	14,41	14,41	0	0	325	0
99	651,06	2606,84	158,81	2469,72	2138,94	0	0	0	0	21,68	1538,94
100	651,06	2582,54	995,84	1676,78	1350	0	0	25,02	50,04	65,05	750
101	651,06	4551,16	3998,34	952,28	0	74,46	74,46	0	0	325	0
102	651,06	3582,72	1979	1867,56	0	5,27	5,27	0	0	258,57	0
103	651,06	1689	995	744	1350	0	0	50	100	0	750
104	651,06	4832,3	3125	1864	0	0	0	156,7	313,4	0	0
105	651,06	3054,5	2241	926	0	0	0	112,5	225	0	0
106	324,67	3775,88	4152,97	-10	0	0	0	108,65	217,29	258,45	0
107	324,67	3369,68	344,88	3042,34	2069,64	0	0	17,54	35,09	0	1169,64
108	324,67	1565,31	944,93	744	1350	0	0	0	0	123,62	750
109	324,67	189,9	220,87	-2	0	0	0	0	0	28,97	0
110	324,67	944	-2	946	2,01	0	0	0	0	0	2,01
111	324,67	3183,31	1456,08	1884,98	0	0	0	0	0	157,75	0
112	1230,6	373,01	-2	375,01	677,01	0	0	0	0	0	377,01
113	1230,6	2315,52	1812,44	740	1350	0	0	0	0	236,92	750
114	576,54	1328,18	274,63	1067,63	1675,63	0	0	14,08	28,16	0	1075,63
115	576,54	1964,64	747,95	1314,44	675	0	0	0	0	97,75	375
116	576,54	15102,26	18408,4	-8	0	2648,14	2648,14	0	0	650	0
117	576,54	8921,31	10595,98	-4	0	1311,58	1311,58	34,08	68,17	325	0
118	576,54	2196,52	2394,51	-6	0	0	0	74,97	149,93	117,03	0
119	576,54	1604,6	992,54	742	1350	0	0	0	0	129,94	750
120	576,54	2224,8	1558,9	744	1350	0	0	78,09	156,19	0	750
121	1033,68	3858,77	4078,82	-6	0	9,91	9,91	204,14	408,28	0	0
122	1033,68	1655,57	1354,49	369	675	0	0	67,92	135,85	0	375
123	1033,68	3207,57	1973,11	1492	2700	0	0	0	0	257,54	1500
124	1033,68	373,01	-2	375,01	677,01	0	0	0	0	0	377,01
125	1033,68	6594,05	3463	3510,34	0	54,29	54,29	0	0	325	0
126	1033,68	2455,52	1801,86	744	1350	0	0	90,34	180,69	0	750
127	1033,68	2160,23	-4	2164,23	8,04	0	0	0	0	0	8,04
128	454,11	1643,88	945,29	746	1350	0	0	47,41	94,83	0	750
129	454,11	1433,83	791,21	746	1350	0	0	0	0	103,38	750
130	454,11	2322,95	2677,86	-6	0	0	0	0	0	348,9	0
131	454,11	3239,27	2440,59	1117	2025	0	0	0	0	318,32	1125
132	454,11	1750,54	498,93	1316,99	675	0	0	0	0	65,38	375
133	454,11	1587,78	978,56	738	1350	0	0	0	0	128,77	750
134	454,11	1892,02	-4	1896,02	8,04	0	0	0	0	0	8,04
135	454,11	1772,14	1182,67	744	1350	0	0	0	0	154,53	750
136	454,11	1599,78	984,55	744	1350	0	0	0	0	128,77	750
137	550,4	4244,01	4490,49	-6	0	15,81	15,81	224,67	449,35	0	0
138	550,4	5413,51	3095,59	2495,08	0	22,03	22,03	155,13	310,26	0	0
139	550,4	1376,87	-4	1380,87	683,04	0	0	0	0	0	383,04
140	550,4	3974,5	2609	1496	0	0	0	130,5	261	0	0
141	550,4	5616,45	6131	-8	0	199,7	199,7	306,85	613,7	0	0
142	550,4	10242,46	8811,55	1871,89	0	0	0	440,98	881,96	0	0
143	372,98	16,16	-8	24,16	32,16	0	0	0	0	0	32,16
144	372,98	9110,5	10823,07	-6	0	1341,47	1341,47	40,1	80,21	325	0
145	372,98	1128,47	1194,44	-6	0	0	0	59,97	119,94	0	0
146	372,98	2104,47	-2	2106,47	2,01	0	0	0	0	0	2,01
147	372,98	1128,47	1194,44	-6	0	0	0	59,97	119,94	0	0
148	372,98	555,12	163,59	399,87	703,87	0	0	8,33	16,66	0	403,87
